x,y,z
1,1,0.418241
1,2,1.18092
1,3,2.0542
1,4,2.97437
1,5,3.91674
1,6,4.87028
1,7,5.82978
1,8,6.79257
1,9,7.75721
2,1,0.263582
2,2,0.836483
2,3,1.55724
2,4,2.36184
2,5,3.21831
2,6,4.1084
2,7,5.02089
2,8,5.94873
2,9,6.88734
3,1,0.190721
3,2,0.647452
3,3,1.25472
3,4,1.95821
3,5,2.72713
3,6,3.54275
3,7,4.39258
3,8,5.26784
3,9,6.1626
4,1,0.147987
4,2,0.527165
4,3,1.05045
4,4,1.67297
4,5,2.36698
4,6,3.11448
4,7,3.90298
4,8,4.72367
4,9,5.56993
5,1,0.119988
5,2,0.443287
5,3,0.902912
5,4,1.46016
5,5,2.09121
5,6,2.77927
5,7,3.51256
5,8,4.28185
5,9,5.08098
6,1,0.100168
6,2,0.381441
6,3,0.790747
6,4,1.2949
6,5,1.87289
6,6,2.50945
6,7,3.1934
6,8,3.91643
6,9,4.67172
7,1,0.0855115
7,2,0.333732
7,3,0.702413
7,4,1.16281
7,5,1.69537
7,6,2.28728
7,7,2.92769
7,8,3.60863
7,9,4.32398
8,1,0.0742383
8,2,0.295974
8,3,0.631048
8,4,1.05433
8,5,1.54848
8,6,2.1009
8,7,2.70269
8,8,3.34593
8,9,4.02457
9,1,0.0653134
9,2,0.265381
9,3,0.572162
9,4,0.963629
9,5,1.42427
9,6,1.94235
9,7,2.50959
9,8,3.11876
9,9,3.76417
